FCFS,First Cash Financial Services Inc,0.09
UFCS,United Fire Group Inc,0.09
SYBT,Stock Yards Bancorp Inc,0.09
CFNL,Cardinal Financial Corp,0.09
PNK,Pinnacle Entertainment Inc,0.09
KW,Kennedy-Wilson Holdings Inc,0.09
NSA,National Storage Affiliates Trust,0.09
NNI,Nelnet Inc,0.09
SBSI,Southside Bancshares Inc,0.09
TVTY,TIVITY HEALTH INC,0.09
REXR,Rexford Industrial Realty Inc,0.09
DF,Dean Foods Co,0.09
SFL,Ship Finance International Ltd,0.08
KRA,Kraton Performance Polymers Inc,0.08
ATU,Actuant Corp,0.08
KALU,Kaiser Aluminum Corp,0.08
GPRE,Green Plains Inc,0.08
DNR,Denbury Resources Inc,0.08
AROC,ARCHROCK INC,0.08
FSS,Federal Signal Corp,0.08
EXTN,EXTERRAN CORP,0.08
MHLD,Maiden Holdings Ltd,0.08
DYN,Dynegy Inc,0.08
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc,0.08
UBNK,United Financial Bancorp Inc,0.08
TRTN,TRITON INTERNATIONAL LTD,0.08
JOE,St Joe Co,0.08
SAFT,Safety Insurance Group Inc,0.08
MSTR,MicroStrategy Inc,0.08
ALOG,Analogic Corp,0.08
EFSC,Enterprise Financial Services Corp,0.08
FPRX,Five Prime Therapeutics Inc,0.08
PKY,Parkway Properties Inc/Md,0.08
LBAI,Lakeland Bancorp Inc,0.08
FIBK,First Interstate BancSystem Inc,0.08
NHC,National HealthCare Corp,0.08
BLX,Banco Latinoamericano de Comercio Exterior SA,0.08
TIER,Tier REIT Inc,0.08
ARR,ARMOUR Residential REIT Inc,0.08
ANF,Abercrombie & Fitch Co,0.08
MMSI,Merit Medical Systems Inc,0.08
CBB,Cincinnati Bell Inc,0.08
MGRC,McGrath RentCorp,0.08
HURN,Huron Consulting Group Inc,0.08
AEGN,Aegion Corp,0.08
CWEI,Clayton Williams Energy Inc,0.08
LZB,La-Z-Boy Inc,0.08
FNFV,FNFV Group,0.08
SJW,SJW Corp,0.08
MNR,Monmouth Real Estate Investment Corp,0.08
NCMI,National CineMedia Inc,0.07
WASH,Washington Trust Bancorp Inc,0.07
AAOI,Applied Optoelectronics Inc,0.07
MSFG,MainSource Financial Group Inc,0.07
MDC,MDC Holdings Inc,0.07
