VTV,3.857E10
WLK,Westlake Chemical Corp,0.02
MUR,Murphy Oil Corp,0.02
NUAN,Nuance Communications Inc,0.02
NAVI,Navient Corp,0.02
LBRDA,Liberty Broadband Corp,0.01
CPN,Calpine Corp,0.01
FTR,Frontier Communications Corp,0.01
WSM,Williams-Sonoma Inc,0.01
AN,AutoNation Inc,0.01
PDCO,Patterson Cos Inc,0.01
CNDT,CONDUENT INC,0.01
ATH,ATHENE HOLDING-A,0.01
BRK.A,Berkshire Hathaway Inc,0.0
NWS,News Corp,0.0
LEN.B,Lennar Corp,0.0
PPC,Pilgrim's Pride Corp,0.0
SC,Santander Consumer USA Holdings Inc,0.0
FTI,FMC Technologies Inc,0.0
MAA,Mid-America Apartment Communities Inc,0.0
