VOOV,9.1017997E8
OKE,ONEOK Inc,0.03
FL,Foot Locker Inc,0.03
ENDP,ENDO INTERNATION,0.02
CSRA,CSRA INC,0.02
ALLE,Allegion PLC,0.02
SWN,Southwestern Energy Co,0.02
FBHS,Fortune Brands Home & Security Inc,0.02
FSLR,First Solar Inc,0.02
TRIP,TripAdvisor Inc,0.02
LEG,Leggett & Platt Inc,0.02
COO,Cooper Cos Inc,0.02
CHK,Chesapeake Energy Corp,0.02
NFX,Newfield Exploration Co,0.02
FLIR,FLIR Systems Inc,0.01
