DGRO,3.1E9
RS,Reliance Steel & Aluminum Co,0.04
VAL,Valspar Corp,0.04
TSCO,Tractor Supply Co,0.04
IDA,IDACORP Inc,0.04
GNTX,Gentex Corp/MI,0.04
RHI,Robert Half International Inc,0.04
SCI,Service Corp International/US,0.04
VR,Validus Holdings Ltd,0.04
DNKN,Dunkin' Brands Group Inc,0.04
ALE,ALLETE Inc,0.04
WGL,WGL Holdings Inc,0.04
BMS,Bemis Co Inc,0.04
CBRL,Cracker Barrel Old Country Store Inc,0.04
FRC,First Republic Bank/CA,0.04
SNI,Scripps Networks Interactive Inc,0.04
ASH,Ashland Inc,0.04
WSM,Williams-Sonoma Inc,0.03
AFG,American Financial Group Inc/OH,0.03
XYL,Xylem Inc/NY,0.03
AWH,Allied World Assurance Co Holdings AG,0.03
IEX,IDEX Corp,0.03
NWE,NorthWestern Corp,0.03
BKH,Black Hills Corp,0.03
STE,STERIS Corp,0.03
NJR,New Jersey Resources Corp,0.03
ENH,Endurance Specialty Holdings Ltd,0.03
CLB,Core Laboratories NV,0.03
DCI,Donaldson Co Inc,0.03
SWX,Southwest Gas Corp,0.03
JKHY,Jack Henry & Associates Inc,0.03
FLS,Flowserve Corp,0.03
SR,Standard Register Co,0.03
FMC,FMC Corp,0.03
PDCO,Patterson Cos Inc,0.03
WBS,Webster Financial Corp,0.03
LEA,Lear Corp,0.03
BCR,CR Bard Inc,0.03
CTAS,Cintas Corp,0.03
MSM,MSC Industrial Direct Co Inc,0.03
SMG,Scotts Miracle-Gro Co,0.03
BAH,Booz Allen Hamilton Holding Corp,0.03
FDS,FactSet Research Systems Inc,0.03
CBOE,CBOE Holdings Inc,0.03
LECO,Lincoln Electric Holdings Inc,0.03
LM,Legg Mason Inc,0.03
RGA,Reinsurance Group of America Inc,0.03
CSL,Carlisle Cos Inc,0.03
PB,Prosperity Bancshares Inc,0.03
R,Ryder System Inc,0.03
AVA,Avista Corp,0.03
CBT,Cabot Corp,0.03
SJI,South Jersey Industries Inc,0.03
GGG,Graco Inc,0.03
ATR,AptarGroup Inc,0.03
RL,Ralph Lauren Corp,0.03
CMP,Compass Minerals International Inc,0.03
NUS,Nu Skin Enterprises Inc,0.03
PNM,PNM Resources Inc,0.03
XRAY,DENTSPLY International Inc,0.03
CBSH,Commerce Bancshares Inc/MO,0.02
CHFC,Chemical Financial Corp,0.02
JCOM,j2 Global Inc,0.02
JBHT,JB Hunt Transport Services Inc,0.02
SEIC,SEI Investments Co,0.02
AGO,Assured Guaranty Ltd,0.02
TTC,Toro Co,0.02
KMT,Kennametal Inc,0.02
ASB,Associated Banc-Corp,0.02
AOS,AO Smith Corp,0.02
LII,Lennox International Inc,0.02
CEB,CEB Inc,0.02
MDP,Meredith Corp,0.02
ONB,Old National Bancorp/IN,0.02
PRGO,Perrigo Co PLC,0.02
OMI,Owens & Minor Inc,0.02
FLIR,FLIR Systems Inc,0.02
NDSN,Nordson Corp,0.02
TMK,Torchmark Corp,0.02
GATX,GATX Corp,0.02
OZRK,Bank of the Ozarks Inc,0.02
DNB,Dun & Bradstreet Corp,0.02
NEU,NewMarket Corp,0.02
FHN,First Horizon National Corp,0.02
EVR,Evercore Partners Inc,0.02
BRO,Brown & Brown Inc,0.02
TRN,Trinity Industries Inc,0.02
